iron tawa/pan/nail | is | left
n | Take | about 5 mL of dilute sulphuric acid
n | Take | about 5 mL of acid
n | add | few pieces of zinc granules
n | Take | about 5 mL of dilute acid
n | Take | about 5 mL of sulphuric acid
gas | being | evolved
gas | being evolved through | soap solution
n | Take | burning candle
n | Take burning candle near | gas bubble
n | Take burning candle near | gas filled bubble
n Repeat | is with | more acids like HCl
observations | is in | cases
metal | forms | compound called
Figure 2.1 Reaction | is with | dilute sulphuric acid
hydrogen atoms | metal in | reactions
hydrogen atoms | metal in | above reactions
metal | is in | above reactions
compound | called | salt
Figure 2.1 Reaction | burning | 19 Acids
reaction | can | Thus can summarised
metal | is with | acid
reaction | can | can summarised
Activity 2.4 n n n Place | is in | test tube
rest | record | your observations
steps | is in | as Activity 2.3
hydrogen | is | formed
You | find again | Na2ZnO2
hydrogen | is formed in | reaction
You | find | Na2ZnO2
You | find again | s
You | find | s
Metal Carbonates | React with | Acids
Metal Carbonates | React | Metal Hydrogencarbonates
B. | Take | about 0.5 g of sodium carbonate
2.2 Passing carbon dioxide gas | Take | test tubes
B. | Take | about 0.5 g
2.2 Passing carbon dioxide gas | Take | two test tubes
2.2 carbon dioxide gas | Take | two test tubes
0.5 g | is in | test tube B.
2.2 carbon dioxide gas | Take | test tubes
carbon dioxide gas | evolved through | Ca
reactions | occurring in | Activity
reactions | Test | tube A
carbon dioxide gas | evolved through | lime water
reactions | occurring in | above Activity
reactions | are | written
reactions | as Test | tube A
metal carbonates | give | hydrogencarbonates
metal carbonates | react | hydrogencarbonates
reaction | can | Thus can summarised as Metal carbonate/Metal hydrogencarbonate
reaction | can | Thus can summarised
reaction | can | can summarised Metal carbonate/Metal hydrogencarbonate
reaction | can | Thus can summarised Metal carbonate/Metal hydrogencarbonate
reaction | can | can summarised as Metal carbonate/Metal hydrogencarbonate
reaction | can | can summarised
n n n n n n n n | add | two drops
n n n n n n n n | Take | about 2 mL
2.6 n n n n n n n n | Take | about 2 mL of NaOH solution
2.6 n n n n n n n n | add | two drops
2.6 n n n n n n n n | Take | about 2 mL of dilute NaOH solution
2.6 n n n n n n n n | Take | about 2 mL
n n n n n n n n | Take | about 2 mL of dilute NaOH solution
n n n n n n n n | Take | about 2 mL of NaOH solution
2.6 n n n n n n n n | add | two drops of phenolphthalein solution
n n n n n n n n | add | two drops of phenolphthalein solution
did | colour after | addition
did | colour of | phenolphthalein change
did | colour after | addition of acid
we | have observed In | Activity
we | have observed In | above Activity
effect | is | nullified
effect | is nullified by | acid
reaction | is | written
acid | between NaOH is | aq
Base | is with | Acids Activity
neutralisation reaction | can | In general can written as
neutralisation reaction | can | can written
neutralisation reaction | can | can written as
neutralisation reaction | can | In general can written
blue-green | dissolves | copper oxide
blue-green colour | is | due
II chloride | is in | reaction
colour | is | due
blue-green colour | is due to | formation of copper
colour | is due to | formation
colour | is due to | formation of copper
blue-green colour | is due to | formation
general reaction | can | can written
reaction | can | can written
metallic oxides | be | basic oxides
oxides | are | said
metallic oxides | are | said
metallic oxides | be | oxides
metallic oxides | react with | acids
oxides | react with | acids
oxides | be | basic oxides
oxides | give | salts
oxides | are said | oxides
metallic oxides | give | salts
base | is with | acid
oxides | be | oxides
You | reaction in | Activity 2.5
reaction | is in | Activity 2.5
You | saw | reaction between carbon dioxide
You | saw | reaction
You | saw | reaction in Activity 2.5
Non-metallic Oxide | is with | Base
You | reaction between | lime water
You | reaction between | carbon dioxide
You | saw | reaction between carbon dioxide in Activity 2.5
this | is similar to | reaction between base
nonmetallic oxides | are | acidic
this | is similar to | reaction
nonmetallic oxides | are acidic in | nature
oxides | are acidic in | nature
this | is | similar
oxides | are | acidic
I | O | N S
acid | reacts with | metal
you | will test for | presence
acid | produce | effervescence
hydrochloric acid | produce | effervescence
Metal compound A | dilute | acid
Metal compound A | dilute | hydrochloric acid
gas | extinguishes | burning candle
ALL ACIDS | is IN | COMMON
acids | have | similar chemical properties
acids | have | chemical properties
we | have seen In | Section 2.1
similarity | is in | properties
hydrogen | so seems | common to acids
We | saw in | Activity
hydrogen | seems | common to acids
us | perform | Activity
ng hydrogen | are | acidic
electricity n | Take | solutions
electricity n | Take | solutions of glucose
Activity 2.8 n n n n n n n Figure 2.3 Acid solution | is in | water
two nails | place cork in | 100 mL beaker
two nails | place | cork
HCl | switch on | current
dilute HCl | switch on | current
Repeat | dilute | sulphuric acid
Repeat | dilute | acid
Repeat | is with | glucose
bulb glow | is in | cases
bulb | will start | glowing in case of acids
bulb | will start | glowing
bulb | will start | glowing in case
current | is | carried through acidic solution by ions
current | is carried by | ions
electric current | is carried through | acidic solution
current | is carried through | acidic solution
electric current | is carried by | ions
electric current | is | carried
current | is carried through | solution
electric current | is | carried through acidic solution by ions
current | is | carried
electric current | is carried through | solution
electric current | is | carried through solution by ions
current | is | carried through solution by ions
CH3COOH | in HNO3 is | SO2
HNO3 | is in | CH3COOH
cation | is in | HCl
HNO3 | is in | H2SO4
cation | is in | HNO3
Acids | contain | H
H2SO4 | in HNO3 is | SO2
acids | produce | H
acids | produce | hydrogen ions
using | alkalis such as | sodium hydroxide
you | can conclude from | results
Base | is in | Water Solution
acids | Do produce ions in | solution
acids | Do produce | ions
acids | Do produce ions in | only solution
acids | Do produce ions in | aqueous solution
acids | Do produce ions in | only aqueous solution
us | test | this
2.9 n n n n n n | Take about | 1g NaCl
n n n n n n | Take in | clean test tube
n n n n n n | Take in | test tube
n n n n n n | Take about | 1g solid NaCl
2.9 n n n n n n | Take about | 1g solid NaCl
2.9 n n n n n n | Take in | test tube
2.9 n n n n n n | Take in | clean test tube
n n n n n n | Take about | 1g NaCl
gas | evolved successively with | dry
gas | evolved with | dry
case | does | litmus paper change colour
you | pass | gas produced
climate | is | humid
you | pass | gas
you | pass | gas produced through guard tube
climate | is | very humid
hydrogen ions | are produced in | presence of water
hydrogen ions | are | produced
hydrogen ions | is in | HCl
hydrogen ions | are produced in | presence
they | combining with | water molecules
